movieId,title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,release_year
1,Toy Story,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
2,Jumanji,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
3,Grumpier Old Men,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
4,Waiting to Exhale,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
5,Father of the Bride Part II,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
6,Heat,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1995
7,Sabrina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
9,Sudden Death,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
10,GoldenEye,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995
11,"American President, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
12,Dracula: Dead and Loving It,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995
13,Balto,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
14,Nixon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
15,Cutthroat Island,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
16,Casino,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
17,Sense and Sensibility,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
18,Four Rooms,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
19,Ace Ventura: When Nature Calls,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
20,Money Train,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1995
21,Get Shorty,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1995
22,Copycat,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1995
23,Assassins,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1995
24,Powder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1995
25,Leaving Las Vegas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
26,Othello,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
27,Now and Then,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
28,Persuasion,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1995
31,Dangerous Minds,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1995
34,Babe,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
35,Carrington,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
36,Dead Man Walking,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
39,Clueless,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
41,Richard III,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1995
42,Dead Presidents,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
43,Restoration,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
44,Mortal Kombat,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
45,To Die For,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1995
46,How to Make an American Quilt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
47,Seven (a.k.a. Se7en),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1995
48,Pocahontas,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1995
50,"Usual Suspects, The",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1995
52,Mighty Aphrodite,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
57,Home for the Holidays,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
58,"Postman, The (Postino, Il)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1994
60,"Indian in the Cupboard, The",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
